Main_Topic,Sub_Topic,Sub_Topic_Question,Web_Link
Repatriation,Mga Proseso ng SENA,Paano magfile ng complaint para sa SENA?,https://dmw.gov.ph/archives/assistwell/categ/legal.htm 
Repatriation,Pagpapauwi at Pagfile ng mga Reklamo,"Nakauwi na po ako pinas, paano mag-file ng reklamo sa akin recruitment agency?",https://dmw.gov.ph/archives/assistwell/categ/legal.htm 
